,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
547,>35,Undergraduate,Yes,Dev,32,15,1
548,<35,Undergraduate,No,Dev,10,7,0
549,<35,Undergraduate,No,Dev,6,2,0
550,>35,Undergraduate,Yes,Dev,23,15,1
551,<35,Undergraduate,No,Dev,6,2,0
552,<35,Master,No,Dev,5,1,0
553,>35,Undergraduate,No,Dev,13,13,0
554,>35,Other,No,Dev,23,20,1
555,<35,Undergraduate,No,Dev,6,5,1
556,>35,Other,No,NotDev,38,20,1
557,<35,Undergraduate,No,Dev,12,9,1
558,<35,Undergraduate,No,NotDev,23,5,1
559,<35,Undergraduate,No,Dev,10,5,1
560,>35,Undergraduate,No,Dev,20,16,1
561,<35,Undergraduate,No,Dev,16,12,1
562,>35,Other,No,NotDev,25,20,1
563,<35,Undergraduate,No,Dev,13,8,1
564,<35,Undergraduate,Yes,Dev,15,13,0
565,>35,Undergraduate,No,Dev,32,23,1
566,<35,Undergraduate,Yes,Dev,7,4,0
567,<35,Undergraduate,No,NotDev,11,3,1
568,<35,Other,Yes,Dev,3,1,0
569,>35,Other,Yes,Dev,6,5,1
570,<35,Master,No,Dev,18,7,1
571,<35,Master,No,Dev,13,6,1
572,<35,Undergraduate,No,Dev,18,11,1
573,<35,Other,No,Dev,8,3,0
574,<35,Master,No,Dev,15,7,0
575,<35,Other,No,Dev,20,10,0
576,<35,Master,No,Dev,17,8,1
577,<35,Other,Yes,Dev,15,13,0
578,<35,Undergraduate,No,Dev,10,8,1
579,<35,Master,No,Dev,10,7,1
580,>35,Undergraduate,No,Dev,23,14,0
581,<35,Undergraduate,No,Dev,5,1,0
582,>35,Master,No,Dev,21,15,1
583,<35,Master,No,Dev,2,2,0
584,<35,Master,Yes,Dev,20,5,1
585,<35,Other,No,Dev,8,4,1
586,<35,PhD,No,Dev,4,Less than 1 year,0
587,>35,Master,No,Dev,25,7,1
588,<35,Undergraduate,No,Dev,10,5,0
